74,Convention Centre,21,19,True,40,False,Dublin,1458056032000,CONVENTION CENTRE,65,"{'lat': 53.34744, 'lng': -6.238523}",OPEN,20160315153654
75,Hardwicke Street,16,0,False,16,False,Dublin,1458056153000,HARDWICKE STREET,15,"{'lat': 53.355473, 'lng': -6.264423}",OPEN,20160315153654
76,Smithfield,20,10,False,30,False,Dublin,1458056147000,SMITHFIELD,35,"{'lat': 53.347692, 'lng': -6.278214}",OPEN,20160315153654
77,Dame Street,2,14,True,16,False,Dublin,1458056179000,DAME STREET,10,"{'lat': 53.344007, 'lng': -6.266802}",OPEN,20160315153654
78,Sandwith Street,22,18,True,40,False,Dublin,1458055764000,SANDWITH STREET,64,"{'lat': 53.345203, 'lng': -6.247163}",OPEN,20160315153654
79,Princes Street / O'Connell Street,8,15,True,23,False,Dublin,1458055978000,PRINCES STREET / O'CONNELL STREET,33,"{'lat': 53.349013, 'lng': -6.260311}",OPEN,20160315153654
80,Grattan Street,1,22,False,23,False,Dublin,1458056084000,GRATTAN STREET,57,"{'lat': 53.339629, 'lng': -6.243778}",OPEN,20160315153654
81,St James Hospital (Luas),34,6,False,40,False,Dublin,1458055922000,ST JAMES HOSPITAL (LUAS),80,"{'lat': 53.341359, 'lng': -6.292951}",OPEN,20160315153654
82,Bolton Street,17,3,False,20,False,Dublin,1458055778000,BOLTON STREET,3,"{'lat': 53.351182, 'lng': -6.269859}",OPEN,20160315153654
83,Strand Street Great,20,15,True,35,False,Dublin,1458055961000,STRAND STREET GREAT,46,"{'lat': 53.347082, 'lng': -6.264192}",OPEN,20160315153654
84,Barrow Street,8,32,True,40,False,Dublin,1458056149000,BARROW STREET,70,"{'lat': 53.341655, 'lng': -6.236198}",OPEN,20160315153654
85,Mountjoy Square West,27,3,False,30,False,Dublin,1458056182000,MOUNTJOY SQUARE WEST,28,"{'lat': 53.356299, 'lng': -6.258586}",OPEN,20160315153654
86,Wilton Terrace,0,20,True,20,False,Dublin,1458056134000,WILTON TERRACE,39,"{'lat': 53.332383, 'lng': -6.252717}",OPEN,20160315153654
87,Leinster Street South,4,26,False,30,False,Dublin,1458055927000,LEINSTER STREET SOUTH,21,"{'lat': 53.34218, 'lng': -6.254485}",OPEN,20160315153654
88,James Street,33,7,True,40,False,Dublin,1458055890000,JAMES STREET,75,"{'lat': 53.343456, 'lng': -6.287409}",OPEN,20160315153654
89,Parkgate Street,38,0,True,38,False,Dublin,1458055933000,PARKGATE STREET,86,"{'lat': 53.347972, 'lng': -6.291804}",OPEN,20160315153654
90,Heuston Bridge (South),12,13,False,25,False,Dublin,1458056048000,HEUSTON BRIDGE (SOUTH),100,"{'lat': 53.347106, 'lng': -6.292041}",OPEN,20160315153654
91,Cathal Brugha Street,17,2,False,20,False,Dublin,1458056072000,CATHAL BRUGHA STREET,24,"{'lat': 53.352149, 'lng': -6.260533}",OPEN,20160315153654
92,Rothe Abbey,29,6,True,35,False,Dublin,1458055910000,ROTHE ABBEY,85,"{'lat': 53.338776, 'lng': -6.30395}",OPEN,20160315153654
93,Upper Sherrard Street,27,3,False,30,False,Dublin,1458055932000,UPPER SHERRARD STREET,44,"{'lat': 53.358437, 'lng': -6.260641}",OPEN,20160315153654
94,Fitzwilliam Square East,9,31,True,40,False,Dublin,1458055769000,FITZWILLIAM SQUARE EAST,89,"{'lat': 53.335211, 'lng': -6.2509}",OPEN,20160315153654
95,Harcourt Terrace,17,3,False,20,False,Dublin,1458055969000,HARCOURT TERRACE,41,"{'lat': 53.332763, 'lng': -6.257942}",OPEN,20160315153654
96,Jervis Street,21,2,True,21,False,Dublin,1458055802000,JERVIS STREET,40,"{'lat': 53.3483, 'lng': -6.266651}",OPEN,20160315153654
97,Ormond Quay Upper,21,8,True,29,False,Dublin,1458055740000,ORMOND QUAY UPPER,29,"{'lat': 53.346057, 'lng': -6.268001}",OPEN,20160315153654
98,Emmet Road,21,19,False,40,False,Dublin,1458055990000,EMMET ROAD,83,"{'lat': 53.340714, 'lng': -6.308191}",OPEN,20160315153654
99,Heuston Bridge (North),40,0,False,40,False,Dublin,1458055998000,HEUSTON BRIDGE (NORTH),92,"{'lat': 53.347802, 'lng': -6.292432}",OPEN,20160315153654
100,Blackhall Place,26,4,False,30,False,Dublin,1458056182000,BLACKHALL PLACE,88,"{'lat': 53.3488, 'lng': -6.281637}",OPEN,20160315153654
60,Market Street South,30,8,False,38,False,Dublin,1458055833000,MARKET STREET SOUTH,76,"{'lat': 53.342296, 'lng': -6.287661}",OPEN,20160315153654
61,Kevin Street,40,0,True,40,False,Dublin,1458055910000,KEVIN STREET,71,"{'lat': 53.337757, 'lng': -6.267699}",OPEN,20160315153654
62,Eccles Street East,26,1,False,27,False,Dublin,1458055746000,ECCLES STREET EAST,79,"{'lat': 53.358115, 'lng': -6.265601}",OPEN,20160315153654
63,Grand Canal Dock,1,39,False,40,False,Dublin,1458055994000,GRAND CANAL DOCK,69,"{'lat': 53.342638, 'lng': -6.238695}",OPEN,20160315153654
64,Merrion Square East,3,27,False,30,False,Dublin,1458056148000,MERRION SQUARE EAST,25,"{'lat': 53.339434, 'lng': -6.246548}",OPEN,20160315153654
65,York Street West,9,31,False,40,False,Dublin,1458055751000,YORK STREET WEST,51,"{'lat': 53.339334, 'lng': -6.264699}",OPEN,20160315153654
66,St. Stephen's Green South,14,16,True,30,False,Dublin,1458055769000,ST. STEPHEN'S GREEN SOUTH,37,"{'lat': 53.337494, 'lng': -6.26199}",OPEN,20160315153654
67,Denmark Street Great,6,14,False,20,False,Dublin,1458056164000,DENMARK STREET GREAT,59,"{'lat': 53.35561, 'lng': -6.261397}",OPEN,20160315153654
68,Heuston Station (Car Park),40,0,False,40,False,Dublin,1458056146000,HEUSTON STATION (CAR PARK),94,"{'lat': 53.346985, 'lng': -6.297804}",OPEN,20160315153654
69,St. Stephen's Green East,10,30,True,40,False,Dublin,1458056125000,ST. STEPHEN'S GREEN EAST,36,"{'lat': 53.337824, 'lng': -6.256035}",OPEN,20160315153654
70,Eccles Street,18,2,False,20,False,Dublin,1458056102000,ECCLES STREET,12,"{'lat': 53.359246, 'lng': -6.269779}",OPEN,20160315153654
71,Mater Hospital,38,2,False,40,False,Dublin,1458055677000,MATER HOSPITAL,78,"{'lat': 53.359967, 'lng': -6.264828}",OPEN,20160315153654
72,Blessington Street,19,1,True,20,False,Dublin,1458056189000,BLESSINGTON STREET,2,"{'lat': 53.356769, 'lng': -6.26814}",OPEN,20160315153654
73,Merrion Square West,4,16,True,20,False,Dublin,1458055823000,MERRION SQUARE WEST,26,"{'lat': 53.339764, 'lng': -6.251988}",OPEN,20160315153654
74,Convention Centre,21,19,True,40,False,Dublin,1458056032000,CONVENTION CENTRE,65,"{'lat': 53.34744, 'lng': -6.238523}",OPEN,20160315153654
75,Hardwicke Street,16,0,False,16,False,Dublin,1458056153000,HARDWICKE STREET,15,"{'lat': 53.355473, 'lng': -6.264423}",OPEN,20160315153654
76,Smithfield,20,10,False,30,False,Dublin,1458056147000,SMITHFIELD,35,"{'lat': 53.347692, 'lng': -6.278214}",OPEN,20160315153654
77,Dame Street,2,14,True,16,False,Dublin,1458056179000,DAME STREET,10,"{'lat': 53.344007, 'lng': -6.266802}",OPEN,20160315153654
78,Sandwith Street,22,18,True,40,False,Dublin,1458055764000,SANDWITH STREET,64,"{'lat': 53.345203, 'lng': -6.247163}",OPEN,20160315153654
79,Princes Street / O'Connell Street,8,15,True,23,False,Dublin,1458055978000,PRINCES STREET / O'CONNELL STREET,33,"{'lat': 53.349013, 'lng': -6.260311}",OPEN,20160315153654
80,Grattan Street,1,22,False,23,False,Dublin,1458056084000,GRATTAN STREET,57,"{'lat': 53.339629, 'lng': -6.243778}",OPEN,20160315153654
81,St James Hospital (Luas),34,6,False,40,False,Dublin,1458055922000,ST JAMES HOSPITAL (LUAS),80,"{'lat': 53.341359, 'lng': -6.292951}",OPEN,20160315153654
82,Bolton Street,17,3,False,20,False,Dublin,1458055778000,BOLTON STREET,3,"{'lat': 53.351182, 'lng': -6.269859}",OPEN,20160315153654
83,Strand Street Great,20,15,True,35,False,Dublin,1458055961000,STRAND STREET GREAT,46,"{'lat': 53.347082, 'lng': -6.264192}",OPEN,20160315153654
84,Barrow Street,8,32,True,40,False,Dublin,1458056149000,BARROW STREET,70,"{'lat': 53.341655, 'lng': -6.236198}",OPEN,20160315153654
85,Mountjoy Square West,27,3,False,30,False,Dublin,1458056182000,MOUNTJOY SQUARE WEST,28,"{'lat': 53.356299, 'lng': -6.258586}",OPEN,20160315153654
86,Wilton Terrace,0,20,True,20,False,Dublin,1458056134000,WILTON TERRACE,39,"{'lat': 53.332383, 'lng': -6.252717}",OPEN,20160315153654
87,Leinster Street South,4,26,False,30,False,Dublin,1458055927000,LEINSTER STREET SOUTH,21,"{'lat': 53.34218, 'lng': -6.254485}",OPEN,20160315153654
88,James Street,33,7,True,40,False,Dublin,1458055890000,JAMES STREET,75,"{'lat': 53.343456, 'lng': -6.287409}",OPEN,20160315153654
89,Parkgate Street,38,0,True,38,False,Dublin,1458055933000,PARKGATE STREET,86,"{'lat': 53.347972, 'lng': -6.291804}",OPEN,20160315153654
90,Heuston Bridge (South),12,13,False,25,False,Dublin,1458056048000,HEUSTON BRIDGE (SOUTH),100,"{'lat': 53.347106, 'lng': -6.292041}",OPEN,20160315153654
91,Cathal Brugha Street,17,2,False,20,False,Dublin,1458056072000,CATHAL BRUGHA STREET,24,"{'lat': 53.352149, 'lng': -6.260533}",OPEN,20160315153654
92,Rothe Abbey,29,6,True,35,False,Dublin,1458055910000,ROTHE ABBEY,85,"{'lat': 53.338776, 'lng': -6.30395}",OPEN,20160315153654
93,Upper Sherrard Street,27,3,False,30,False,Dublin,1458055932000,UPPER SHERRARD STREET,44,"{'lat': 53.358437, 'lng': -6.260641}",OPEN,20160315153654
94,Fitzwilliam Square East,9,31,True,40,False,Dublin,1458055769000,FITZWILLIAM SQUARE EAST,89,"{'lat': 53.335211, 'lng': -6.2509}",OPEN,20160315153654
95,Harcourt Terrace,17,3,False,20,False,Dublin,1458055969000,HARCOURT TERRACE,41,"{'lat': 53.332763, 'lng': -6.257942}",OPEN,20160315153654
96,Jervis Street,21,2,True,21,False,Dublin,1458055802000,JERVIS STREET,40,"{'lat': 53.3483, 'lng': -6.266651}",OPEN,20160315153654
97,Ormond Quay Upper,21,8,True,29,False,Dublin,1458055740000,ORMOND QUAY UPPER,29,"{'lat': 53.346057, 'lng': -6.268001}",OPEN,20160315153654
98,Emmet Road,21,19,False,40,False,Dublin,1458055990000,EMMET ROAD,83,"{'lat': 53.340714, 'lng': -6.308191}",OPEN,20160315153654
99,Heuston Bridge (North),40,0,False,40,False,Dublin,1458055998000,HEUSTON BRIDGE (NORTH),92,"{'lat': 53.347802, 'lng': -6.292432}",OPEN,20160315153654
100,Blackhall Place,26,4,False,30,False,Dublin,1458056182000,BLACKHALL PLACE,88,"{'lat': 53.3488, 'lng': -6.281637}",OPEN,20160315153654
0,Smithfield North,24,6,True,30,False,Dublin,1458056133000,SMITHFIELD NORTH,42,"{'lat': 53.349562, 'lng': -6.278198}",OPEN,20160315154155
1,Parnell Square North,20,0,True,20,False,Dublin,1458056180000,PARNELL SQUARE NORTH,30,"{'lat': 53.353462, 'lng': -6.265305}",OPEN,20160315154155
2,Pearse Street,15,15,True,30,False,Dublin,1458056479000,PEARSE STREET,32,"{'lat': 53.344304, 'lng': -6.250427}",OPEN,20160315154155
3,Excise Walk,27,13,False,40,False,Dublin,1458056486000,EXCISE WALK,48,"{'lat': 53.347777, 'lng': -6.244239}",OPEN,20160315154155
4,Fitzwilliam Square West,3,27,False,30,False,Dublin,1458056414000,FITZWILLIAM SQUARE WEST,13,"{'lat': 53.336074, 'lng': -6.252825}",OPEN,20160315154155
5,St. James Hospital (Central),28,12,False,40,False,Dublin,1458056176000,ST. JAMES HOSPITAL (CENTRAL),81,"{'lat': 53.339983, 'lng': -6.295594}",OPEN,20160315154155
6,Hanover Quay,5,35,True,40,False,Dublin,1458056447000,HANOVER QUAY,68,"{'lat': 53.344115, 'lng': -6.237153}",OPEN,20160315154155
7,Oliver Bond Street,29,1,False,30,False,Dublin,1458055916000,OLIVER BOND STREET,74,"{'lat': 53.343893, 'lng': -6.280531}",OPEN,20160315154155
8,Collins Barracks Museum,35,3,True,38,False,Dublin,1458056329000,COLLINS BARRACKS MUSEUM,87,"{'lat': 53.347477, 'lng': -6.28525}",OPEN,20160315154155
9,Brookfield Road,14,16,False,30,False,Dublin,1458056455000,BROOKFIELD ROAD,84,"{'lat': 53.339005, 'lng': -6.300217}",OPEN,20160315154155
10,Clonmel Street,30,3,False,33,False,Dublin,1458056394000,CLONMEL STREET,54,"{'lat': 53.336021, 'lng': -6.26298}",OPEN,20160315154155
11,James Street East,7,23,False,30,False,Dublin,1458056327000,JAMES STREET EAST,20,"{'lat': 53.336485, 'lng': -6.248174}",OPEN,20160315154155
12,Mount Street Lower,4,36,False,40,False,Dublin,1458056439000,MOUNT STREET LOWER,56,"{'lat': 53.33796, 'lng': -6.24153}",OPEN,20160315154155
13,Christchurch Place,13,7,False,20,False,Dublin,1458056427000,CHRISTCHURCH PLACE,6,"{'lat': 53.343368, 'lng': -6.27012}",OPEN,20160315154155
14,Grantham Street,29,1,True,30,False,Dublin,1458056303000,GRANTHAM STREET,18,"{'lat': 53.334123, 'lng': -6.265436}",OPEN,20160315154155
15,York Street East,9,23,False,32,False,Dublin,1458056266000,YORK STREET EAST,52,"{'lat': 53.338755, 'lng': -6.262003}",OPEN,20160315154155
16,Portobello Road,26,4,True,30,False,Dublin,1458056278000,PORTOBELLO ROAD,43,"{'lat': 53.330091, 'lng': -6.268044}",OPEN,20160315154155
17,Parnell Street,18,2,False,20,False,Dublin,1458056306000,PARNELL STREET,31,"{'lat': 53.350929, 'lng': -6.265125}",OPEN,20160315154155
18,Frederick Street South,7,33,True,40,False,Dublin,1458056458000,FREDERICK STREET SOUTH,98,"{'lat': 53.341515, 'lng': -6.256853}",OPEN,20160315154155
19,Fownes Street Upper,10,19,False,30,False,Dublin,1458056398000,FOWNES STREET UPPER,14,"{'lat': 53.344603, 'lng': -6.263371}",OPEN,20160315154155
20,Chatham Street,12,18,False,29,False,Dublin,1458055936000,CHATHAM STREET,1,"{'lat': 53.340962, 'lng': -6.262287}",OPEN,20160315154155
21,Custom House,23,7,True,30,False,Dublin,1458056379000,CUSTOM HOUSE,23,"{'lat': 53.348279, 'lng': -6.254662}",OPEN,20160315154155
22,Benson Street,5,35,False,40,False,Dublin,1458056196000,BENSON STREET,90,"{'lat': 53.344153, 'lng': -6.233451}",OPEN,20160315154155
23,Fenian Street,1,34,False,35,False,Dublin,1458056310000,FENIAN STREET,63,"{'lat': 53.341428, 'lng': -6.24672}",OPEN,20160315154155
24,South Dock Road,23,7,False,30,False,Dublin,1458056453000,SOUTH DOCK ROAD,91,"{'lat': 53.341833, 'lng': -6.231291}",OPEN,20160315154155
25,The Point,37,3,True,40,False,Dublin,1458056222000,THE POINT,67,"{'lat': 53.346867, 'lng': -6.230852}",OPEN,20160315154155
26,Lime Street,16,24,False,40,False,Dublin,1458056365000,LIME STREET,62,"{'lat': 53.346026, 'lng': -6.243576}",OPEN,20160315154155
27,Kilmainham Gaol,38,2,True,40,False,Dublin,1458056484000,KILMAINHAM GAOL,97,"{'lat': 53.342113, 'lng': -6.310015}",OPEN,20160315154155
28,Guild Street,26,14,False,40,False,Dublin,1458056248000,GUILD STREET,49,"{'lat': 53.347932, 'lng': -6.240928}",OPEN,20160315154155
29,Herbert Place,2,26,False,30,False,Dublin,1458056286000,HERBERT PLACE,19,"{'lat': 53.334432, 'lng': -6.245575}",OPEN,20160315154155
30,Western Way,40,0,False,40,False,Dublin,1458056087000,WESTERN WAY,102,"{'lat': 53.354929, 'lng': -6.269425}",OPEN,20160315154155
31,Newman House,7,33,False,40,False,Dublin,1458056410000,NEWMAN HOUSE,53,"{'lat': 53.337132, 'lng': -6.26059}",OPEN,20160315154155
32,King Street North,26,4,False,30,False,Dublin,1458056430000,KING STREET NORTH,101,"{'lat': 53.350291, 'lng': -6.273507}",OPEN,20160315154155
33,Herbert Street,0,40,False,40,False,Dublin,1458056444000,HERBERT STREET,47,"{'lat': 53.335742, 'lng': -6.24551}",OPEN,20160315154155
34,Earlsfort Terrace,3,27,False,30,False,Dublin,1458056302000,EARLSFORT TERRACE,11,"{'lat': 53.334019, 'lng': -6.258371}",OPEN,20160315154155
35,Golden Lane,20,0,False,20,False,Dublin,1458056333000,GOLDEN LANE,17,"{'lat': 53.340803, 'lng': -6.267732}",OPEN,20160315154155
36,Deverell Place,20,10,False,30,False,Dublin,1458056216000,DEVERELL PLACE,45,"{'lat': 53.351464, 'lng': -6.255265}",OPEN,20160315154155
37,John Street West,30,1,False,31,False,Dublin,1458056172000,JOHN STREET WEST,72,"{'lat': 53.343105, 'lng': -6.277167}",OPEN,20160315154155
38,City Quay,22,8,False,30,False,Dublin,1458056488000,CITY QUAY,99,"{'lat': 53.346637, 'lng': -6.246154}",OPEN,20160315154155
39,Exchequer Street,13,11,False,24,False,Dublin,1458056421000,EXCHEQUER STREET,9,"{'lat': 53.343034, 'lng': -6.263578}",OPEN,20160315154155
40,Hatch Street,18,18,False,36,False,Dublin,1458056465000,HATCH STREET,55,"{'lat': 53.33403, 'lng': -6.260714}",OPEN,20160315154155
41,Charlemont Street,33,7,False,40,False,Dublin,1458056108000,CHARLEMONT PLACE,5,"{'lat': 53.330662, 'lng': -6.260177}",OPEN,20160315154155
42,Hardwicke Place,25,0,True,25,False,Dublin,1458056443000,HARDWICKE PLACE,61,"{'lat': 53.357043, 'lng': -6.263232}",OPEN,20160315154155
43,Wolfe Tone Street,28,1,False,29,False,Dublin,1458056295000,WOLFE TONE STREET,77,"{'lat': 53.348875, 'lng': -6.267459}",OPEN,20160315154155
44,Francis Street,25,5,True,30,False,Dublin,1458056184000,FRANCIS STREET,73,"{'lat': 53.342081, 'lng': -6.275233}",OPEN,20160315154155
45,Greek Street,20,0,False,20,False,Dublin,1458056091000,GREEK STREET,4,"{'lat': 53.346874, 'lng': -6.272976}",OPEN,20160315154155
46,High Street,23,6,True,29,False,Dublin,1458056061000,HIGH STREET,7,"{'lat': 53.343565, 'lng': -6.275071}",OPEN,20160315154155
47,North Circular Road,25,5,True,30,False,Dublin,1458056286000,NORTH CIRCULAR ROAD,60,"{'lat': 53.359624, 'lng': -6.260348}",OPEN,20160315154155
48,Talbot Street,30,10,False,40,False,Dublin,1458056287000,TALBOT STREET,38,"{'lat': 53.350974, 'lng': -6.25294}",OPEN,20160315154155
49,Sir Patrick's Dun,12,28,True,40,False,Dublin,1458056442000,SIR PATRICK DUN'S,58,"{'lat': 53.339218, 'lng': -6.240642}",OPEN,20160315154155
50,New Central Bank,31,9,False,40,False,Dublin,1458056329000,NEW CENTRAL BANK,66,"{'lat': 53.347122, 'lng': -6.234749}",OPEN,20160315154155
51,Georges Quay,20,0,False,20,False,Dublin,1454065289000,GEORGES QUAY,16,"{'lat': 53.347508, 'lng': -6.252192}",CLOSED,20160315154155
52,Mount Brown,16,6,False,22,False,Dublin,1458055892000,MOUNT BROWN,82,"{'lat': 53.341645, 'lng': -6.29719}",OPEN,20160315154155
53,Royal Hospital,33,7,True,40,False,Dublin,1458056272000,ROYAL HOSPITAL,95,"{'lat': 53.343897, 'lng': -6.29706}",OPEN,20160315154155
54,Heuston Station (Central),40,0,False,40,False,Dublin,1458055998000,HEUSTON STATION (CENTRAL),93,"{'lat': 53.346603, 'lng': -6.296924}",OPEN,20160315154155
55,Townsend Street,7,12,False,20,False,Dublin,1458056487000,TOWNSEND STREET,22,"{'lat': 53.345922, 'lng': -6.254614}",OPEN,20160315154155
56,Portobello Harbour,23,7,False,30,False,Dublin,1458056373000,PORTOBELLO HARBOUR,34,"{'lat': 53.330362, 'lng': -6.265163}",OPEN,20160315154155
57,Custom House Quay,12,18,False,30,False,Dublin,1458056027000,CUSTOM HOUSE QUAY,8,"{'lat': 53.347884, 'lng': -6.248048}",OPEN,20160315154155
58,Molesworth Street,14,6,False,20,False,Dublin,1458056042000,MOLESWORTH STREET,27,"{'lat': 53.341288, 'lng': -6.258117}",OPEN,20160315154155
59,Kilmainham Lane,27,3,False,30,False,Dublin,1458055967000,KILMAINHAM LANE,96,"{'lat': 53.341805, 'lng': -6.305085}",OPEN,20160315154155
0,Smithfield North,24,6,True,30,False,Dublin,1458056133000,SMITHFIELD NORTH,42,"{'lat': 53.349562, 'lng': -6.278198}",OPEN,20160315154155
1,Parnell Square North,20,0,True,20,False,Dublin,1458056180000,PARNELL SQUARE NORTH,30,"{'lat': 53.353462, 'lng': -6.265305}",OPEN,20160315154155
2,Pearse Street,15,15,True,30,False,Dublin,1458056479000,PEARSE STREET,32,"{'lat': 53.344304, 'lng': -6.250427}",OPEN,20160315154155
3,Excise Walk,27,13,False,40,False,Dublin,1458056486000,EXCISE WALK,48,"{'lat': 53.347777, 'lng': -6.244239}",OPEN,20160315154155
4,Fitzwilliam Square West,3,27,False,30,False,Dublin,1458056414000,FITZWILLIAM SQUARE WEST,13,"{'lat': 53.336074, 'lng': -6.252825}",OPEN,20160315154155
5,St. James Hospital (Central),28,12,False,40,False,Dublin,1458056176000,ST. JAMES HOSPITAL (CENTRAL),81,"{'lat': 53.339983, 'lng': -6.295594}",OPEN,20160315154155
6,Hanover Quay,5,35,True,40,False,Dublin,1458056447000,HANOVER QUAY,68,"{'lat': 53.344115, 'lng': -6.237153}",OPEN,20160315154155
7,Oliver Bond Street,29,1,False,30,False,Dublin,1458055916000,OLIVER BOND STREET,74,"{'lat': 53.343893, 'lng': -6.280531}",OPEN,20160315154155
8,Collins Barracks Museum,35,3,True,38,False,Dublin,1458056329000,COLLINS BARRACKS MUSEUM,87,"{'lat': 53.347477, 'lng': -6.28525}",OPEN,20160315154155
9,Brookfield Road,14,16,False,30,False,Dublin,1458056455000,BROOKFIELD ROAD,84,"{'lat': 53.339005, 'lng': -6.300217}",OPEN,20160315154155
10,Clonmel Street,30,3,False,33,False,Dublin,1458056394000,CLONMEL STREET,54,"{'lat': 53.336021, 'lng': -6.26298}",OPEN,20160315154155
11,James Street East,7,23,False,30,False,Dublin,1458056327000,JAMES STREET EAST,20,"{'lat': 53.336485, 'lng': -6.248174}",OPEN,20160315154155
12,Mount Street Lower,4,36,False,40,False,Dublin,1458056439000,MOUNT STREET LOWER,56,"{'lat': 53.33796, 'lng': -6.24153}",OPEN,20160315154155
13,Christchurch Place,13,7,False,20,False,Dublin,1458056427000,CHRISTCHURCH PLACE,6,"{'lat': 53.343368, 'lng': -6.27012}",OPEN,20160315154155
14,Grantham Street,29,1,True,30,False,Dublin,1458056303000,GRANTHAM STREET,18,"{'lat': 53.334123, 'lng': -6.265436}",OPEN,20160315154155
15,York Street East,9,23,False,32,False,Dublin,1458056266000,YORK STREET EAST,52,"{'lat': 53.338755, 'lng': -6.262003}",OPEN,20160315154155
16,Portobello Road,26,4,True,30,False,Dublin,1458056278000,PORTOBELLO ROAD,43,"{'lat': 53.330091, 'lng': -6.268044}",OPEN,20160315154155
17,Parnell Street,18,2,False,20,False,Dublin,1458056306000,PARNELL STREET,31,"{'lat': 53.350929, 'lng': -6.265125}",OPEN,20160315154155
18,Frederick Street South,7,33,True,40,False,Dublin,1458056458000,FREDERICK STREET SOUTH,98,"{'lat': 53.341515, 'lng': -6.256853}",OPEN,20160315154155
19,Fownes Street Upper,10,19,False,30,False,Dublin,1458056398000,FOWNES STREET UPPER,14,"{'lat': 53.344603, 'lng': -6.263371}",OPEN,20160315154155
20,Chatham Street,12,18,False,29,False,Dublin,1458055936000,CHATHAM STREET,1,"{'lat': 53.340962, 'lng': -6.262287}",OPEN,20160315154155
21,Custom House,23,7,True,30,False,Dublin,1458056379000,CUSTOM HOUSE,23,"{'lat': 53.348279, 'lng': -6.254662}",OPEN,20160315154155
22,Benson Street,5,35,False,40,False,Dublin,1458056196000,BENSON STREET,90,"{'lat': 53.344153, 'lng': -6.233451}",OPEN,20160315154155
23,Fenian Street,1,34,False,35,False,Dublin,1458056310000,FENIAN STREET,63,"{'lat': 53.341428, 'lng': -6.24672}",OPEN,20160315154155
24,South Dock Road,23,7,False,30,False,Dublin,1458056453000,SOUTH DOCK ROAD,91,"{'lat': 53.341833, 'lng': -6.231291}",OPEN,20160315154155
25,The Point,37,3,True,40,False,Dublin,1458056222000,THE POINT,67,"{'lat': 53.346867, 'lng': -6.230852}",OPEN,20160315154155
26,Lime Street,16,24,False,40,False,Dublin,1458056365000,LIME STREET,62,"{'lat': 53.346026, 'lng': -6.243576}",OPEN,20160315154155
27,Kilmainham Gaol,38,2,True,40,False,Dublin,1458056484000,KILMAINHAM GAOL,97,"{'lat': 53.342113, 'lng': -6.310015}",OPEN,20160315154155
28,Guild Street,26,14,False,40,False,Dublin,1458056248000,GUILD STREET,49,"{'lat': 53.347932, 'lng': -6.240928}",OPEN,20160315154155
29,Herbert Place,2,26,False,30,False,Dublin,1458056286000,HERBERT PLACE,19,"{'lat': 53.334432, 'lng': -6.245575}",OPEN,20160315154155
30,Western Way,40,0,False,40,False,Dublin,1458056087000,WESTERN WAY,102,"{'lat': 53.354929, 'lng': -6.269425}",OPEN,20160315154155
31,Newman House,7,33,False,40,False,Dublin,1458056410000,NEWMAN HOUSE,53,"{'lat': 53.337132, 'lng': -6.26059}",OPEN,20160315154155
32,King Street North,26,4,False,30,False,Dublin,1458056430000,KING STREET NORTH,101,"{'lat': 53.350291, 'lng': -6.273507}",OPEN,20160315154155
33,Herbert Street,0,40,False,40,False,Dublin,1458056444000,HERBERT STREET,47,"{'lat': 53.335742, 'lng': -6.24551}",OPEN,20160315154155
34,Earlsfort Terrace,3,27,False,30,False,Dublin,1458056302000,EARLSFORT TERRACE,11,"{'lat': 53.334019, 'lng': -6.258371}",OPEN,20160315154155
35,Golden Lane,20,0,False,20,False,Dublin,1458056333000,GOLDEN LANE,17,"{'lat': 53.340803, 'lng': -6.267732}",OPEN,20160315154155
36,Deverell Place,20,10,False,30,False,Dublin,1458056216000,DEVERELL PLACE,45,"{'lat': 53.351464, 'lng': -6.255265}",OPEN,20160315154155
37,John Street West,30,1,False,31,False,Dublin,1458056172000,JOHN STREET WEST,72,"{'lat': 53.343105, 'lng': -6.277167}",OPEN,20160315154155
38,City Quay,22,8,False,30,False,Dublin,1458056488000,CITY QUAY,99,"{'lat': 53.346637, 'lng': -6.246154}",OPEN,20160315154155
39,Exchequer Street,13,11,False,24,False,Dublin,1458056421000,EXCHEQUER STREET,9,"{'lat': 53.343034, 'lng': -6.263578}",OPEN,20160315154155
40,Hatch Street,18,18,False,36,False,Dublin,1458056465000,HATCH STREET,55,"{'lat': 53.33403, 'lng': -6.260714}",OPEN,20160315154155
41,Charlemont Street,33,7,False,40,False,Dublin,1458056108000,CHARLEMONT PLACE,5,"{'lat': 53.330662, 'lng': -6.260177}",OPEN,20160315154155
42,Hardwicke Place,25,0,True,25,False,Dublin,1458056443000,HARDWICKE PLACE,61,"{'lat': 53.357043, 'lng': -6.263232}",OPEN,20160315154155
43,Wolfe Tone Street,28,1,False,29,False,Dublin,1458056295000,WOLFE TONE STREET,77,"{'lat': 53.348875, 'lng': -6.267459}",OPEN,20160315154155
44,Francis Street,25,5,True,30,False,Dublin,1458056184000,FRANCIS STREET,73,"{'lat': 53.342081, 'lng': -6.275233}",OPEN,20160315154155
45,Greek Street,20,0,False,20,False,Dublin,1458056091000,GREEK STREET,4,"{'lat': 53.346874, 'lng': -6.272976}",OPEN,20160315154155
46,High Street,23,6,True,29,False,Dublin,1458056061000,HIGH STREET,7,"{'lat': 53.343565, 'lng': -6.275071}",OPEN,20160315154155
